,Player,Age,Team,Games Played,Minutes Played,PTS,FG%,3P%,FT%,Offensive Production per Minute,True Shooting,3PAr,TRB%,Field Goals Assisted,Possessions end by steal,Two-point attempts blocked,Turnovers per 100 plays,Plays Used,Win Shares,Box Plus/Minus,Value Over Replacement,Salary,Win_Pct
0,Shai Gilgeous-Alexander,26.0,OKC,76.0,34.2,32.7,0.519,0.375,0.898,30.7,0.637,0.263,7.8,31.3,2.4,3.0,8.6,34.8,16.7,11.5,8.9,38333050.0,0.829
1,Giannis Antetokounmpo,30.0,MIL,67.0,34.2,30.4,0.601,0.222,0.617,30.5,0.625,0.048,19.0,36.0,1.2,3.2,11.2,35.2,11.5,9.5,6.6,54126450.0,0.585
2,Nikola Jokić,29.0,DEN,70.0,36.7,29.6,0.576,0.417,0.8,32.0,0.663,0.243,19.1,44.1,2.4,1.6,12.8,29.5,16.4,13.3,9.8,55224526.0,0.61
3,Luka Dončić,25.0,LAL,50.0,35.4,28.2,0.45,0.368,0.782,24.1,0.587,0.469,12.8,36.1,2.5,1.1,13.0,33.9,5.9,6.7,3.9,45999660.0,0.61
4,Anthony Edwards,23.0,MIN,79.0,36.3,27.6,0.447,0.395,0.837,20.1,0.595,0.503,8.7,20.9,1.6,1.7,12.0,31.4,8.4,4.3,4.6,45550512.0,0.598
5,Jayson Tatum,26.0,BOS,72.0,36.4,26.8,0.452,0.343,0.814,21.7,0.582,0.497,12.9,27.0,1.5,1.3,11.2,31.2,9.5,5.2,4.8,54126450.0,0.744
6,Kevin Durant,36.0,PHO,62.0,36.5,26.6,0.527,0.43,0.839,21.2,0.642,0.331,9.2,19.6,1.1,3.2,12.9,28.7,5.2,3.2,3.0,54708609.0,0.439
7,Tyrese Maxey,24.0,PHI,52.0,37.7,26.3,0.437,0.337,0.879,19.5,0.562,0.438,5.0,28.0,2.3,1.1,9.2,29.8,3.8,2.0,2.0,37958760.0,0.293
8,Cade Cunningham,23.0,DET,70.0,35.0,26.1,0.469,0.356,0.846,20.6,0.565,0.287,9.6,43.0,1.4,2.1,16.0,33.2,5.9,3.9,3.7,46394100.0,0.537
9,Jalen Brunson,28.0,NYK,65.0,35.4,26.0,0.488,0.383,0.821,21.6,0.605,0.331,4.7,32.3,1.3,0.3,10.5,29.5,8.3,3.3,3.1,34944001.0,0.622
10,Paolo Banchero,22.0,ORL,46.0,34.4,25.9,0.452,0.32,0.727,20.0,0.551,0.299,12.5,26.0,1.1,1.7,11.2,33.6,3.5,3.5,2.2,15334769.0,0.5
11,Devin Booker,28.0,PHO,75.0,37.3,25.6,0.461,0.332,0.894,19.3,0.589,0.388,6.1,30.6,1.2,0.5,11.9,29.3,6.4,0.4,1.7,53142264.0,0.439
12,LaMelo Ball,23.0,CHO,47.0,32.0,25.2,0.405,0.339,0.843,19.1,0.536,0.526,8.2,43.8,1.8,0.8,13.1,35.9,2.0,3.2,2.0,37958760.0,0.232
13,Damian Lillard,34.0,MIL,58.0,36.1,24.9,0.448,0.376,0.921,21.3,0.621,0.528,7.1,29.7,1.6,0.4,12.2,27.8,7.6,4.0,3.2,68230450.0,0.585
14,Anthony Davis,31.0,LAL,51.0,33.5,24.7,0.516,0.282,0.775,26.3,0.588,0.136,19.4,18.3,1.7,6.0,9.5,30.4,6.7,5.4,3.2,54126450.0,0.61
15,Kyrie Irving,32.0,DAL,50.0,36.1,24.7,0.473,0.401,0.916,19.9,0.594,0.38,7.2,20.5,1.8,1.1,9.7,27.4,4.6,3.4,2.5,36566002.0,0.476
16,Zion Williamson,24.0,NOP,30.0,28.6,24.6,0.567,0.231,0.656,27.3,0.6,0.026,13.6,36.6,2.1,3.0,12.8,34.7,2.5,7.0,1.9,39446090.0,0.256
17,Stephen Curry,36.0,GSW,70.0,32.2,24.5,0.448,0.397,0.933,21.5,0.618,0.623,7.4,31.3,1.7,1.3,12.6,29.8,7.9,6.3,4.8,59606817.0,0.585
18,LeBron James,40.0,LAL,70.0,34.9,24.4,0.513,0.376,0.782,22.7,0.604,0.312,12.6,40.3,1.4,1.5,15.5,30.1,7.7,5.6,4.7,52627153.0,0.61
19,Karl-Anthony Towns,29.0,NYK,72.0,35.0,24.4,0.526,0.42,0.829,23.4,0.63,0.278,21.0,13.8,1.4,1.9,12.1,27.4,10.1,3.6,3.5,53142264.0,0.622
20,Victor Wembanyama,21.0,SAS,46.0,33.2,24.3,0.476,0.352,0.836,24.2,0.594,0.47,17.7,18.3,1.6,10.4,13.7,30.4,3.8,6.5,3.3,13376880.0,0.415
21,Franz Wagner,23.0,ORL,60.0,33.7,24.2,0.463,0.295,0.871,20.1,0.558,0.303,9.7,26.6,1.9,1.0,9.6,31.0,5.6,3.1,2.6,38661750.0,0.5
22,Trae Young,26.0,ATL,76.0,36.0,24.2,0.411,0.34,0.875,18.3,0.567,0.467,4.7,46.4,1.6,0.4,17.9,29.6,5.7,0.5,1.7,45999660.0,0.488
23,Donovan Mitchell,28.0,CLE,71.0,31.4,24.0,0.443,0.368,0.823,20.9,0.575,0.48,7.8,23.9,2.0,0.7,9.2,30.9,7.6,3.7,3.2,46394100.0,0.78
24,Cam Thomas,23.0,BRK,25.0,31.2,24.0,0.438,0.349,0.881,18.0,0.575,0.43,6.0,22.9,1.0,0.3,10.6,32.6,1.2,0.3,0.5,5993172.0,0.317
25,Tyler Herro,25.0,MIA,77.0,35.4,23.9,0.472,0.375,0.878,19.7,0.605,0.486,8.1,26.2,1.3,0.6,11.5,28.0,7.4,3.1,3.5,31000000.0,0.451
26,Joel Embiid,30.0,PHI,19.0,30.2,23.8,0.444,0.299,0.882,23.4,0.58,0.244,15.3,25.6,1.2,3.1,13.7,34.2,1.4,3.5,0.8,55224526.0,0.293
27,De'Aaron Fox,27.0,SAC,62.0,36.1,23.5,0.463,0.31,0.827,18.3,0.56,0.328,7.4,27.2,2.0,1.1,11.8,28.3,4.3,0.4,1.3,37096620.0,0.488
28,Zach LaVine,29.0,CHI,74.0,35.2,23.3,0.511,0.446,0.825,17.3,0.639,0.438,6.5,18.3,1.1,0.4,13.4,25.3,5.1,0.7,1.8,47499660.0,0.476
29,Ja Morant,25.0,MEM,50.0,30.4,23.2,0.454,0.309,0.824,19.3,0.563,0.321,7.1,36.0,1.9,0.7,15.2,32.2,3.5,2.4,1.7,39446090.0,0.585
